1194399822534230113--ExprList,119439982253423011319435--"Result matrix is \n"
1194399822816038793367--InitList,119439982281603879336761399--1
11943998221953571687999790873270249831260614--ArrayRef,1194399822195357168799979087327024983126061413472--i
1193348728951494688--ParamList,119334872895149468869363--Decl
1193256331633935558310788206392198242728950--*,119325633163393555831078820639219824272895026960--ArrayRef
11932563316339355583107882063--Compound,119325633163393555831078820639219--For
1193256331633935558310788206324982629941294--ArrayRef,119325633163393555831078820632498262994129439848--i
119439982219535716879997--For,11943998221953571687999790873--FuncCall
1194399821722139464--ExprList,119439982172213946454282--res
1194399824470396506--ArrayDecl,119439982447039650693063--ArrayDecl
11943998273350--Return,1194399827335044415--0
1194399822816018487373752884--mat2,119439982281601848737375288451615--int
1193348728951494688--ParamList,119334872895149468874462--Decl
1193256331633935558310788206392198242722031--ArrayRef,119325633163393555831078820639219824272203111188--j
11943998221953--For,1194399822195392860--=
11943998218386578469471--InitList,119439982183865784694713096--3
11943998221953--For,1194399822195330335--<
1194399822195330335--<,119439982219533033560296--4
11943998228160387929685--InitList,1194399822816038792968557895--3
11943998228160387983074--InitList,1194399822816038798307418782--4
11932563377546--Decl,1193256337754626775--k
119325633--Compound,11932563348404--Decl
1193256334840431693--i,119325633484043169392740--int
1194399822195357168--Compound,119439982219535716811296--FuncCall
1193348728951494688693637636681642--ArrayDecl,119334872895149468869363763668164231451--res
11933487289514946886936376366--ArrayDecl,1193348728951494688693637636681642--ArrayDecl
1194399822195357168799972915--<,119439982219535716879997291588679--4
11933487289514--FuncDecl,1193348728951494688--ParamList
119439982219535716811296--FuncCall,11943998221953571681129639571--ExprList
11932563316339355583107882063921945741--<,1193256331633935558310788206392194574175351--k
119439982281603879--InitList,11943998228160387929685--InitList
119439982183865784629115--InitList,11943998218386578462911565368--4
11932563316339355583107857869--=,1193256331633935558310785786986261--j
1194399824470396506--ArrayDecl,119439982447039650680928--4
1194399821838657846--InitList,11943998218386578469471--InitList
11932563316339--For,1193256331633933945--<
1194399822195357168--Compound,119439982219535716879997--For
119325633163393555831078--For,11932563316339355583107857869--=
119439982183868568154635--ArrayDecl,11943998218386856815463549104--mat1
119325633163393555831078--For,11932563316339355583107894425--<
