1193989399051969302--Decl,119398939905196930242482--ArrayDecl
1197500701969184563--merge,119750070196918456393951--int
1195--FuncDef,119599561--Decl
11971267148475419975069--<=,1197126714847541997506970741--right
1197126768313--Decl,119712676831328926--0
1198703897534545584189462150--ExprList,119870389753454558418946215033093--arr
11971267960006430255211--ArrayRef,1197126796000643025521188647--temp
119615635--Compound,11961563560307--Return
119712671484714706279797274740667--=,1197126714847147062797972747406677122--+
1194622155267771389291334978--arr,119462215526777138929133497834593--int
119712671484714706279797981530753--ArrayRef,11971267148471470627979798153075369885--arr
1196156353748281210--inv_count,11961563537482812102452--int
11959655091686486204588670123405--*,1195965509168648620458867012340548562--array_size
1196156359294872559410326692--FuncCall,119615635929487255941032669274932--merge
119870389--Compound,1198703897534--FuncCall
1196783328131762848--ParamList,119678332813176284861828--Decl
1196156359294872559--Compound,11961563592948725596009--=
11971267--Compound,1197126770788--=
1196783328131762848984412686586665--temp,119678332813176284898441268658666574936--int
11971267148471470627979428245655490995--ArrayRef,1197126714847147062797942824565549099596805--temp
1198703898837311627--InitList,119870389883731162712355--20
119462215526724336--Decl,11946221552672433636351--mid
1197126714847147062797972747212534968784096--++,119712671484714706279797274721253496878409613750--k
1197126763392--Decl,119712676339231168--k
1197126796000--While,119712679600064302--=
1198703898837311627--InitList,11987038988373116275195--1
1195965509168648620458--FuncCall,119596550916864862045886701--ExprList
1197126714847147062797972747406677122--+,119712671484714706279797274740667712296651---
11959956143385--FuncDecl,1195995614338562070--ParamList
11983056648287648325241277955351175570--args,1198305664828764832524127795535117557072685--char
11946221552672433636351--mid,1194622155267243363635175487--int
119870389753454558--ExprList,11987038975345455884241--" Number of inversions are %d \n"
119712671484754199--&&,11971267148475419916106--<=
11987038988373215028891--arr,1198703898837321502889113645--int
11959655043713805379085377---,1195965504371380537908537790262--1
119750070196912485179933--Decl,11975007019691248517993380276--ArrayDecl
1197126714847147062797972747406677122--+,119712671484714706279797274740667712251778--inv_count
119398939905196930242482--ArrayDecl,11939893990519693024248215618--arr
11971267960006430245410--ArrayRef,1197126796000643024541033830--arr
11946221552671857584777--right,1194622155267185758477731293--int
