119726--=,1197262--mid
11961--Decl,119611--FuncDecl
119721142--ArrayRef,1197211421--temp
119724--Decl,1197242--0
11971114--Decl,119711141--mid
1196221--inv_count,11962211--int
11972111--=,119721111--i
11931--FuncDecl,119312--_mergeSort
119728--While,1197282--Compound
1197281--&&,11972811--<=
11972102--=,119721021--ArrayRef
119622--Decl,1196222--0
1195111--ParamList,11951112--Decl
119721022--ArrayRef,1197210222--++
119311--ParamList,1193114--Decl
119729212--++,1197292121--k
119721022--ArrayRef,1197210221--arr
1196232322--ExprList,11962323221--arr
1195212--Cast,11952121--Typename
119411111--arr,1194111111--int
119721021--ArrayRef,1197210211--temp
119821--Decl,1198211--ArrayDecl
119611--FuncDecl,1196111--ParamList
119611--FuncDecl,1196112--_mergeSort
119624--Return,1196241--inv_count
119311--ParamList,1193111--Decl
119623232--FuncCall,1196232322--ExprList
11941121--ArrayDecl,119411211--temp
11972821322--+,119728213221--inv_count
119521222111--Typename,1195212221111--None
11982111--arr,119821111--int
119729222--++,1197292221--i
11972--Compound,1197212--Return
1198212--InitList,11982122--20
11972811--<=,119728111--i
11972101--<=,119721011--j
1198212--InitList,11982124--4
1194113--Decl,11941131--left
11972--Compound,1197210--While
11972821322--+,119728213222---
119411--ParamList,1194112--Decl
1198--FuncDef,11982--Compound
11972--Compound,119728--While
1195212221111--None,11952122211111--int
11982--Compound,119824--Return
1--FileAST,1197--FuncDef
1196232322--ExprList,11962323223--+
1195221--FuncCall,11952211--_mergeSort
1196232121--+,11962321211--right
11961113--Decl,119611131--left
11952212--ExprList,119522121--arr
119623232--FuncCall,1196232321--_mergeSort
119311--ParamList,1193112--Decl
119411--ParamList,1194114--Decl
119822--FuncCall,1198222--ExprList
11982222--FuncCall,119822221--mergeSort
1--FileAST,1198--FuncDef
1197282121--=,11972821212--ArrayRef
119611111--ArrayDecl,1196111111--arr
1194114--Decl,11941141--mid
1195111111--arr,11951111111--int
1196111211--temp,11961112111--int
119822222--ExprList,1198222222--5
11982--Compound,119821--Decl
11972--Compound,119726--=
